FAX,IAF
FAX,CH
FAX,ETF
FAX,FCO
FAX,IF
FAX,ISL
FAX,ACU
FAX,AQ            
FAX,AE
FAX,ADK
FAX,ADK^A
FAX,API
FAX,ACY
FAX,AIM
FAX,AA^
FAX,AXX
FAX,AXU
FAX,ANV
FAX,AAU
FAX,APT
FAX,ALTV
FAX,DIT
FAX,APP
FAX,ADGE
FAX,ALN
FAX,AMS
FAX,AQQ
FAX,AXN
FAX,AGX
FAX,ARR/WS
FAX,HRT
FAX,AKG
FAX,ATL
FAX,AZC
FAX,AZK
FAX,AWX
FAX,AVL
FAX,ASM
FAX,BONE
FAX,BTN
FAX,BKJ
FAX,BCV
FAX,BAA
FAX,BHB
FAX,BRN
FAX,BXE
FAX,BIR^A
FAX,BTX
FAX,BMJ
FAX,BZM
FAX,BLE
FAX,BLJ
FAX,BFY
FAX,BPS
FAX,BHV
FAX,BDR
FAX,BVX
FAX,BWL/A
FAX,BZC
FAX,BRD
FAX,BTI
FAX,CAK
FAX,CDY
FAX,CXM
FAX,ROX
FAX,CAW
FAX,CVM
FAX,CEF
FAX,GTU
FAX,CET
FAX,CCF
FAX,CQP
FAX,LNG
FAX,CVR
FAX,CNAM
FAX,CBP
FAX,CHGS
FAX,CMFO
FAX,CNR
FAX,CPHI
FAX,SHZ
FAX,CRC
FAX,MBA
FAX,CKX
FAX,CGR
FAX,GLV
FAX,GLQ
FAX,GLO
FAX,CRV
FAX,MOC
FAX,CIX
FAX,LODE
FAX,CTO
FAX,CEP
FAX,MCF
FAX,CUO
FAX,CMT
FAX,CRMD
FAX,CRMD/WS
FAX,CFP
FAX,CRF
FAX,CLM
FAX,COVR
FAX,CVU
FAX,CIK
FAX,DHY
FAX,EXE
FAX,CXZ
FAX,CRVP
FAX,CTP
FAX,QBC
FAX,DXR
FAX,DEJ
FAX,VCF
FAX,VFL
FAX,VMM
FAX,DLA
FAX,DNN
FAX,DGSE
FAX,DPW
FAX,DSS
FAX,DMF
FAX,GRF
FAX,ESTE
FAX,EVM
FAX,EIA
FAX,CEV
FAX,EVV
FAX,MAB
FAX,MMV
FAX,MIW
FAX,EMI
FAX,EIM
FAX,EIV
FAX,EMJ
FAX,EVJ
FAX,ENX
FAX,NYH
FAX,EVY
FAX,EIO
FAX,EVO
FAX,EIP
FAX,EVP
FAX,ELMD
FAX,ETAK
FAX,ELLO
FAX,ECF
FAX,EMAN
FAX,EOX
FAX,MSN
FAX,EGI
FAX,EVI
FAX,ERB
FAX,ESP
FAX,ETUA
FAX,ETUB
FAX,EMXX
FAX,EVBN
FAX,EVK
FAX,EPM
FAX,EPM^A
FAX,XRA
FAX,FU
FAX,FPP
FAX,FPP/WS
FAX,MXN
FAX,FEN
FAX,FWV
FAX,BDL
FAX,FSI
FAX,FFI
FAX,FSP
FAX,FTF
FAX,FRD
FAX,FRS
FAX,GLU
FAX,GGN
FAX,GGN^A
FAX,EGAS
FAX,GSX
FAX,GST
FAX,GST^A
FAX,JOB
FAX,GMO
FAX,GGR
FAX,GPR
FAX,GIG
FAX,GSB
FAX,GLOW
FAX,GORO
FAX,GSV
FAX,AUMN
FAX,GSS
FAX,GV
FAX,GRC
FAX,GHM
FAX,GTE
FAX,GPL
FAX,GRH
FAX,GRH^C
FAX,SIM
FAX,GVP
FAX,HWG
FAX,HEB
FAX,HLM^
